category,title,price,image_link,product_link
tabs,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Graphite Gray),"₹9,315",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/c/h/w/-original-imahfdyfjzk2zwf9.jpeg?q=70,https://www.flipkart.com/redmi-pad-se-8-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-graphite-gray/p/itma5509f73ddb92?pid=TABHYYS9AZZW97ZU&lid=LSTTABHYYS9AZZW97ZUJOJH8U&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_1&otracker=search&fm=organic&iid=en_qlwPi6OOcHN1fS6cAu_WVoXCmiSntVyVmOMwVf7BDgsHUT1gmcEgtbBWkHFhsCYDRysvx5geSgCmqErMNRm2sfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
tabs,Samsung Galaxy Tab S9 FE+ 8 GB RAM 128 GB ROM 12.4 Inch with Wi-Fi Only Tablet (Lavender),"₹21,780",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/o/n/1/-original-imahyq3euprznxzn.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-tab-s9-fe-8-gb-ram-128-rom-12-4-inch-wi-fi-only-tablet-lavender/p/itm3627db41d1191?pid=TABGTDU7ZHJFNUEZ&lid=LSTTABGTDU7ZHJFNUEZMZHZRW&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_2&otracker=search&fm=organic&iid=en_qlwPi6OOcHN1fS6cAu_WVoXCmiSntVyVmOMwVf7BDgtUNZ48tpxAyPTh_tLGJidKnqfZnd1-lLE36Mx_rVbRCPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
tabs,REDMI  Pad SE 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Lavender Purple),"₹9,315",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/t/l/y/-original-imahfdyf6hghuvmn.jpeg?q=70,https://www.flipkart.com/redmi-pad-se-8-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-lavender-purple/p/itma5509f73ddb92?pid=TABHYYS9NRJGRYWF&lid=LSTTABHYYS9NRJGRYWFZ9EWXP&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_3&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABHYYS9NRJGRYWF.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
tabs,realme Pad 2 6 GB RAM 128 GB ROM 11.5 inch with 4G Tablet (Imagination Grey),"₹10,755",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/o/y/8/rmp2204-realme-original-imagrhcqdhdyc9tg.jpeg?q=70,https://www.flipkart.com/realme-pad-2-6-gb-ram-128-rom-11-5-inch-4g-tablet-imagination-grey/p/itmd0b2f34105355?pid=TABGRGWKVCXZGKDZ&lid=LSTTABGRGWKVCXZGKDZS5CFGY&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_4&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABGRGWKVCXZGKDZ.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
tabs,Samsung Galaxy Tab A9+ 8 GB RAM 128 GB ROM 11.0 inch with Wi-Fi+5G Tablet (Graphite),"₹14,490",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/v/4/h/-original-imagu5gbhgbjqvh6.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-tab-a9-8-gb-ram-128-rom-11-0-inch-wi-fi-5g-tablet-graphite/p/itm29a61f8cbaa86?pid=TABGTF4G3RPUDTVQ&lid=LSTTABGTF4G3RPUDTVQ6JCSUS&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_5&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABGTF4G3RPUDTVQ.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
tabs,OPPO Pad SE 4 GB RAM 128 GB ROM 10.95 inch with Wi-Fi Only Gaming Tablet (Starlight Silver),"₹10,935",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/y/h/z/-original-imahfurynyfpkefm.jpeg?q=70,https://www.flipkart.com/oppo-pad-se-4-gb-ram-128-rom-10-95-inch-wi-fi-only-gaming-tablet-starlight-silver/p/itm55066b1603fbe?pid=TABHDMU9SGMAVUJC&lid=LSTTABHDMU9SGMAVUJC5J3W1Z&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_6&otracker=search&fm=organic&iid=en_qlwPi6OOcHN1fS6cAu_WVoXCmiSntVyVmOMwVf7BDguTqqvnvKgx0yELE1cvUldsZD5Mx-t6zc4i7Q3r4I3Ci04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
mobiles,"Google Pixel 9A (Obsidian, 256 GB)","₹49,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/b/u/-original-imahadxg2fazkzub.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-obsidian-256-gb/p/itmf9d1fcfa566cf?pid=MOBH9YMEQUGCHPHN&lid=LSTMOBH9YMEQUGCHPHNSFHZNA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_veB3GBQFnzszpU9LT9Bf5ovQVLuwXTMEIsIk75xjudKDx6yNhNKeM0JdhLn592TgZ_TXqLzbetHXYys2TL79CQ%3D%3D&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
tabs,REDMI  Pad Pro 5G 8 GB RAM 256 GB ROM 12.1 inch with Wi-Fi+5G Tablet (Graphite Grey),"₹17,280",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/p/r/n/-original-imahbzz49skh28tk.jpeg?q=70,https://www.flipkart.com/redmi-pad-pro-5g-8-gb-ram-256-rom-12-1-inch-wi-fi-5g-tablet-graphite-grey/p/itm96c3c63b39052?pid=TABH32JHWDQWMRMC&lid=LSTTABH32JHWDQWMRMCYH9PVP&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_7&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABH32JHWDQWMRMC.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
laptops,"ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (1...","₹22,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/8/6/-original-imahgfdfs7spfjwe.jpeg?q=70,https://www.flipkart.com/asus-vivobook-16x-2025-creator-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp413ws-gaming-laptop/p/itmec40249e8fe47?pid=COMH9499MNGSKSBV&lid=LSTCOMH9499MNGSKSBVOF6KTA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_GC014NB36YGCo0JzmAbXDbhtuK-opjXfwNg0vdA5viRRXXZwsYZUzPHXalvFXtPfgVMs2wkz4sd2pkgm0tyBHvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
mobiles,"Google Pixel 9A (Porcelain, 256 GB)","₹49,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/q/f/-original-imahadxg8mgjzrfh.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-porcelain-256-gb/p/itmfe749ceddac9a?pid=MOBH9YME35EYPV4K&lid=LSTMOBH9YME35EYPV4K5K7UZW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=en_veB3GBQFnzszpU9LT9Bf5ovQVLuwXTMEIsIk75xjudJPz0KaqVkfiZBHKa_HL-30jFgxmUDrdM7MhocGI3M6QA%3D%3D&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
