Video URL,Comment Number,Comment Text
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,1,Thanks for 335 subscribe keep supporting you tube Family
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,2,Nice game  play Fatih gaming speed game play wow Nice shots
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,3,This is my friend
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,4,Very good game bro ️
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,5,Thanks for 24 subscribe
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,6,Nice Gameplay
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,7,Big fan
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,8,Nice room
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,9,1:12  shot bhai 1:12
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,10,wow
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,11,Nice Bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,12,07:52 kabhi kabhi gamers pe shak hota hai ki ye kahi inke hi bnde to nhi  ? 07:52
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,13,Sa abi lütfen bana Rank kasmamda yardımcı ol
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,14,All the best bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,15,Awesome
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,16,Amazing gameplay
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,17,Me 2 bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,18,big fen bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,19,Global india me without vpn kaise khele or best vpn konsa hoga?
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,20,18:14 bro didn't wanna fight just wanted the car 18:14
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,21,"HI
LOUE"
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,22,Bro how are you playing good wifi
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,23,Damn do you play on a phone or iPad? Insane man
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,24,do you mind sharing your settings?
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,25,Iam the 1000th viewer
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,26,Good game
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,27,Use 2nd button on odm gear to stop
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,28,Master
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,29,
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,30,12:05 bro punched his Ipad  12:05
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,31,Nice game
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,32,Thank you for 21 SUBSCRIBER
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,33,Nice game
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,34,Gooo Fatih
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,35,
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,36,Bhai bahot badia
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,37,"mereka bilang aku kecanduan main game,padahal aku cuma berusaha menhibur diri dan sejenak melupakan beban pikiran yang membuatku menyerah dan putus asa akan kegagalan hidupku...."
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,38,Good reflexes bro...you play like your fingers are sweaty
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,39,Impressive
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,40,
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,41,bro how are u so good at aiming and killing? please teach us
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,42,1:12 nice jump shoot.... 1:12
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,43,
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,44,Mast
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,45,VASA FATIHHHHHHHHHHHHHHHHHHHHHHHHHHH
